id;id_line;plant;shop;date_of_validation;validation_result;visual_inspection;oem_checklist;cable_certification_for_relevant_cabling;number_of_profinet_devices;number_of_devices;additional_checks_for_frame_errors;number_of_scp;max_traffic_load_on_the_network;max_traffic_load_on_the_network_percent;max_profinet_traffic_load_on_the_network;max_profinet_traffic_load_on_the_network_percent;plc_count;rings_count
488;485;G;BODY;T002;INCOMPLETE;;;PASS;102;114;YES - PASS;1;48.033;24.0165;47.848;23.924;1;1
10;10;Q;ASSEMBLY;T006;FAIL;Yes- Fail;Pass;Yes- Fail;32;32;;1;13.651;6.8255;13.429;6.7145;1;1
11;11;Q;ASSEMBLY;T006;FAIL;Yes- Fail;Pass;Yes- Fail;21;21;;1;9.822;4.911;9.542;4.771;1;1
13;13;Q;ASSEMBLY;T006;FAIL;Yes- Fail;Pass;Yes- Fail;15;15;;1;5.391;2.6955;5.19;2.595;1;1
14;14;Q;ASSEMBLY;T006;FAIL;Yes- Fail;Pass;Yes- Fail;22;22;;1;10.166;5.083;9.95;4.975;1;1
16;16;Q;ASSEMBLY;T006;FAIL;Yes- Fail;Pass;Yes- Fail;65;65;;1;28.087;14.0435;27.63;13.815;1;1
18;18;Q;ASSEMBLY;T006;FAIL;Yes- Fail;Pass;Yes - Fail;100;100;;1;5.028;2.514;3.41;1.705;1;1
22;22;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Pass;Yes - Fail;208;208;;1;21.776;10.888;20.42;10.21;1;1
26;26;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Pass;Yes - Fail;112;112;;1;41.463;20.7315;41.044;20.522;1;1
28;28;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Pass;Yes - Fail;102;102;;1;37.182;18.591;36.664;18.332;1;1
29;29;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Fail;Yes - Pass;13;13;;1;7.437;3.7185;7.397;3.6985;1;0
30;30;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Fail;Yes - Pass;13;13;;1;0;0;0;0;1;0
32;32;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Pass;Yes - Fail;225;225;;3;74.452;37.226;74.142;37.071;3;1
34;34;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Fail;Yes - Pass;5;5;;1;0.619;0.3095;0.576;36.858;1;0
36;36;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Fail;Yes - Pass;26;26;;1;14.298;7.149;13.819;6.9095;1;1
37;36;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Pass;Yes - Pass;26;26;;1;14.298;7.149;13.819;6.9095;1;1
38;37;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Fail;Yes - Pass;26;26;;1;14.261;7.1305;13.825;6.9125;1;1
39;37;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Pass;Yes - Pass;26;26;;1;14.261;7.1305;13.825;6.9125;1;1
40;38;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Fail;Yes - Pass;26;26;;1;14.276;7.138;13.825;6.9125;1;1
41;38;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Pass;Yes - Pass;26;26;;1;14.276;7.138;13.825;6.9125;1;1
42;39;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Pass;Yes - Pass;26;26;;1;0;0;0;0;1;0
43;40;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Fail;Yes - Pass;12;12;;1;4.999;2.4995;4.623;2.3115;1;0
44;41;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Fail;Yes - Pass;12;12;;1;4.662;2.331;4.623;2.3115;1;0
45;42;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Fail;Yes - Pass;13;13;;1;5.009;2.5045;4.623;2.3115;1;0
46;43;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Fail;Yes - Pass;13;13;;1;0;0;0;0;1;0
57;54;Q;ASSEMBLY;T006;FAIL;Yes - Fail;Pass;Yes - Fail;10;10;;1;4.579;2.2895;4.546;2.273;1;0
80;77;P;BODY;T006;FAIL;Yes - Fail;Pass;Yes - Fail;369;369;;4;56.441;28.2205;56.224;28.112;4;2
84;81;P;BODY;T006;FAIL;Yes - Fail;Fail;Yes - Fail;100;100;;1;30.851;15.4255;30.562;15.281;1;1
86;83;P;BODY;T006;FAIL;Yes - Fail;Fail;Yes - Pass;89;89;;1;27.912;13.956;27.232;13.616;1;1
87;84;P;BODY;T006;FAIL;Yes - Fail;Fail;Yes - Fail;90;90;;1;30.162;15.081;29.931;14.9655;1;1
93;90;P;BODY;T006;FAIL;Yes - Fail;Pass;Yes - Fail;93;93;;2;16.519;8.2595;16.426;8.213;2;1
101;98;P;BODY;T006;FAIL;Yes - Fail;Pass;Yes -Fail;85;85;;2;14.223;7.1115;14.114;7.057;2;1
